"номер","тип_задачи","текст_задачи","изображение","выполнено","правильный_ответ"
"1","Уравнения","Решите уравнение: 2x + 5 = 13","","False","4"
"2","Уравнения","Решите уравнение: 3(x - 4) = 15","","False","9"
"3","Уравнения","Решите уравнение: x² - 5x + 6 = 0","","False","2;3"
"4","Уравнения","Решите уравнение: 2x² + 3x - 2 = 0","","False","0.5;-2"
"5","Уравнения","Решите уравнение: √(x + 2) = 3","","False","7"
"6","Уравнения","Решите уравнение: |x - 3| = 7","","False","10;-4"
"7","Уравнения","Решите уравнение: 2ˣ = 16","","False","4"
"8","Уравнения","Решите уравнение: log₃(x) = 4","","False","81"
"9","Уравнения","Решите уравнение: sin(x) = 1/2 на отрезке [0; 2π]","","False","π/6;5π/6"
"10","Уравнения","Решите уравнение: cos(2x) = 1/2 на отрезке [0; π]","","False","π/6;5π/6"
"11","Неравенства","Решите неравенство: 3x - 7 > 5","","False","x>4"
"12","Неравенства","Решите неравенство: 2x + 1 ≤ x - 3","","False","x≤-4"
"13","Неравенства","Решите неравенство: x² - 9 < 0","","False","-3<x<3"
"14","Неравенства","Решите неравенство: (x-2)(x+4) ≥ 0","","False","x≤-4;x≥2"
"15","Неравенства","Решите неравенство: 2ˣ > 8","","False","x>3"
"16","Неравенства","Решите неравенство: log₂(x) < 4","","False","0<x<16"
"17","Неравенства","Решите неравенство: |x + 2| ≤ 5","","False","-7≤x≤3"
"18","Неравенства","Решите неравенство: √(x-1) > 2","","False","x>5"
"19","Неравенства","Решите неравенство: (x-3)/(x+2) > 0","","False","x<-2;x>3"
"20","Неравенства","Решите неравенство: x² + 4x + 3 ≤ 0","","False","-3≤x≤-1"
"21","Производная","Найдите производную функции: f(x) = 4x³ - 2x² + x - 5","","False","12x²-4x+1"
"22","Производная","Найдите производную функции: f(x) = sin(x) - cos(x)","","False","cos(x)+sin(x)"
"23","Производная","Найдите производную функции: f(x) = eˣ + ln(x)","","False","eˣ+1/x"
"24","Производная","Найдите производную функции: f(x) = (x+3)⁴","","False","4(x+3)³"
"25","Производная","Найдите производную функции: f(x) = x·sin(x)","","False","sin(x)+x·cos(x)"
"26","Производная","Найдите производную функции: f(x) = √x + 1/x","","False","1/(2√x)-1/x²"
"27","Производная","Найдите производную функции: f(x) = tg(x)","","False","1/cos²(x)"
"28","Производная","Найдите производную функции: f(x) = ln(x²)","","False","2/x"
"29","Производная","Найдите производную функции: f(x) = 2ˣ","","False","2ˣ·ln2"
"30","Производная","Найдите производную функции: f(x) = 3x⁵ - 4x³ + 2x - 1","","False","15x⁴-12x²+2"
"31","Геометрия","В прямоугольном треугольнике катеты равны 6 и 8. Найдите гипотенузу","","True","10"
"32","Геометрия","В прямоугольном треугольнике гипотенуза равна 25, один катет равен 7. Найдите другой катет","","False","24"
"33","Геометрия","В прямоугольном треугольнике катеты равны 5 и 12. Найдите площадь","","False","30"
"34","Геометрия","В прямоугольном треугольнике высота к гипотенузе равна 12, проекция одного катета равна 9. Найдите гипотенузу","","False","25"
"35","Геометрия","В равностороннем треугольнике со стороной 6 найдите высоту","","False","3√3"
"36","Геометрия","В равностороннем треугольнике со стороной 8 найдите площадь","","False","16√3"
"37","Геометрия","В равнобедренном треугольнике основание равно 10, боковая сторона 13. Найдите площадь","","False","60"
"38","Геометрия","В равнобедренной трапеции основания равны 5 и 11, боковая сторона равна 5. Найдите высоту","","False","4"
"39","Геометрия","В прямоугольной трапеции основания равны 4 и 10, большая боковая сторона равна 10. Найдите площадь","","False","70"
"40","Геометрия","В параллелограмме стороны равны 5 и 8, острый угол равен 60°. Найдите площадь","","False","20√3"
"41","Геометрия","В ромбе сторона равна 13, одна диагональ равна 24. Найдите другую диагональ","","False","10"
"42","Геометрия","В ромбе диагонали равны 12 и 16. Найдите площадь","","False","96"
"43","Геометрия","В круге радиусом 10 найдите длину окружности (π ≈ 3.14)","","False","62.8"
"44","Геометрия","В круге радиусом 6 найдите площадь круга (π ≈ 3.14)","","False","113.04"
"45","Геометрия","Центральный угол окружности равен 60°, радиус равен 6. Найдите длину дуги (π ≈ 3.14)","","False","6.28"
"46","Стереометрия","В кубе с ребром 5 найдите объем","","False","125"
"47","Стереометрия","В кубе с ребром 4 найдите площадь полной поверхности","","False","96"
"48","Стереометрия","В прямоугольном параллелепипеде измерения 3, 4, 12. Найдите длину диагонали","","False","13"
"49","Стереометрия","В прямоугольном параллелепипеде измерения 2, 3, 6. Найдите объем","","False","36"
"50","Стереометрия","В цилиндре радиус основания 4, высота 7. Найдите объем (π ≈ 3.14)","","False","351.68"
"51","Стереометрия","В цилиндре радиус основания 5, высота 8. Найдите площадь боковой поверхности (π ≈ 3.14)","","False","251.2"
"52","Стереометрия","В конусе радиус основания 6, высота 8. Найдите образующую","","False","10"
"53","Стереометрия","В конусе радиус основания 3, образующая 5. Найдите высоту","","False","4"
"54","Стереометрия","В шаре радиусом 10 найдите объем (π ≈ 3.14)","","False","4186.67"
"55","Стереометрия","В правильной треугольной пирамиде сторона основания 6, высота 4. Найдите объем","","False","12√3"
"56","Стереометрия","В правильной четырехугольной пирамиде сторона основания 8, высота 3. Найдите объем","","False","64"
"57","Стереометрия","В правильной шестиугольной призме сторона основания 2, высота 5. Найдите объем","","False","30√3"
"58","Стереометрия","В правильной треугольной призме сторона основания 4, высота 10. Найдите объем","","False","40√3"
"59","Стереометрия","В сфере радиусом 7 найдите площадь поверхности (π ≈ 3.14)","","False","615.44"
"60","Стереометрия","В усеченном конусе радиусы оснований 3 и 6, высота 4. Найдите образующую","","False","5"
"61","Тригонометрия","Найдите sin(45°)","","False","√2/2"
"62","Тригонометрия","Найдите cos(30°)","","False","√3/2"
"63","Тригонометрия","Найдите tg(60°)","","False","√3"
"64","Тригонометрия","Упростите выражение: sin²(x) + cos²(x)","","False","1"
"65","Тригонометрия","Упростите выражение: 1 + tg²(x)","","False","1/cos²(x)"
"66","Тригонометрия","Найдите значение выражения: sin(π/4) + cos(π/4)","","False","√2"
"67","Тригонометрия","Найдите значение выражения: 2sin(30°)cos(30°)","","False","√3/2"
"68","Тригонометрия","Найдите наименьшее значение функции: y = 3 - 2cos(x)","","False","1"
"69","Тригонометрия","Найдите наибольшее значение функции: y = 5 + sin(x)","","False","6"
"70","Тригонометрия","Найдите период функции: y = cos(3x)","","False","2π/3"
"71","Логарифмы","Найдите значение: log₂(16)","","False","4"
